assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name_x,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,strain,orig_name,to_annotate,gsize,nb_conts,L90,file,asm_name_y,name_no_strain,label
GCF_002238295.1,PRJNA224116,SAMN06473357,,,na,,1314,1314,Streptococcus pyogenes,strain=STAB090229,,latest,Complete Genome,Major,Full,2017/08/01,ASM223829v1,university of rennes1,GCA_002238295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/238/295/GCF_002238295.1_ASM223829v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002238295.1/GCF_002238295.1_ASM223829v1_genomic.fna.gz,STPY.0321.00059,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002238295.1_ASM223829v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002238295.1_ASM223829v1_genomic.fna_prepare-split125N.fna,1846347,1,1,GCF_002238295.1_ASM223829v1_genomic.fna_prepare-split125N.fna,ASM223829v1,STAB090229,Streptococcus pyogenes STAB090229
GCF_002238315.1,PRJNA224116,SAMN06554460,,,na,,1314,1314,Streptococcus pyogenes,strain=STAB120304,,latest,Complete Genome,Major,Full,2017/08/01,ASM223831v1,university of rennes1,GCA_002238315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/238/315/GCF_002238315.1_ASM223831v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002238315.1/GCF_002238315.1_ASM223831v1_genomic.fna.gz,STPY.0321.00063,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002238315.1_ASM223831v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002238315.1_ASM223831v1_genomic.fna_prepare-split125N.fna,1890354,1,1,GCF_002238315.1_ASM223831v1_genomic.fna_prepare-split125N.fna,ASM223831v1,STAB120304,Streptococcus pyogenes STAB120304
GCF_002355175.1,PRJNA224116,SAMD00000355,,,na,,1314,1314,Streptococcus pyogenes,strain=M3-b,,latest,Complete Genome,Major,Full,2016/02/26,ASM235517v1,National Center for Global Health and Medicine,GCA_002355175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/175/GCF_002355175.1_ASM235517v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002355175.1/GCF_002355175.1_ASM235517v1_genomic.fna.gz,STPY.0321.00003,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002355175.1_ASM235517v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002355175.1_ASM235517v1_genomic.fna_prepare-split125N.fna,1893821,1,1,GCF_002355175.1_ASM235517v1_genomic.fna_prepare-split125N.fna,ASM235517v1,M3-b,Streptococcus pyogenes M3-b
GCF_002355815.1,PRJNA224116,SAMD00057778,,,na,,1314,1314,Streptococcus pyogenes,strain=JMUB1235,,latest,Complete Genome,Major,Full,2016/08/26,ASM235581v1,"Division of Bacteriology, Department of Infection and Immunity, School of Medicine, Jichi Medical University",GCA_002355815.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/815/GCF_002355815.1_ASM235581v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002355815.1/GCF_002355815.1_ASM235581v1_genomic.fna.gz,STPY.0321.00001,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002355815.1_ASM235581v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002355815.1_ASM235581v1_genomic.fna_prepare-split125N.fna,1741982,1,1,GCF_002355815.1_ASM235581v1_genomic.fna_prepare-split125N.fna,ASM235581v1,JMUB1235,Streptococcus pyogenes JMUB1235
GCF_002557755.1,PRJNA224116,SAMN07757765,,,na,,1314,1314,Streptococcus pyogenes,strain=HarveyGAS,,latest,Complete Genome,Major,Full,2017/10/16,ASM255775v1,Houston Methodist Hospital,GCA_002557755.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/557/755/GCF_002557755.1_ASM255775v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002557755.1/GCF_002557755.1_ASM255775v1_genomic.fna.gz,STPY.0321.00005,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002557755.1_ASM255775v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002557755.1_ASM255775v1_genomic.fna_prepare-split125N.fna,1852980,1,1,GCF_002557755.1_ASM255775v1_genomic.fna_prepare-split125N.fna,ASM255775v1,HarveyGAS,Streptococcus pyogenes HarveyGAS
GCF_002844355.1,PRJNA224116,SAMN07174848,,,na,,1314,1314,Streptococcus pyogenes,strain=JS12,,latest,Complete Genome,Major,Full,2017/12/18,ASM284435v1,National University of Singapore and Genome Institute of Singapore,GCA_002844355.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/844/355/GCF_002844355.1_ASM284435v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002844355.1/GCF_002844355.1_ASM284435v1_genomic.fna.gz,STPY.0321.00064,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002844355.1_ASM284435v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002844355.1_ASM284435v1_genomic.fna_prepare-split125N.fna,1810283,1,1,GCF_002844355.1_ASM284435v1_genomic.fna_prepare-split125N.fna,ASM284435v1,JS12,Streptococcus pyogenes JS12
GCF_003025365.1,PRJNA224116,SAMN08793275,,,na,,1314,1314,Streptococcus pyogenes,strain=TJ11-001,,latest,Complete Genome,Major,Full,2018/03/30,ASM302536v1,"National Institute for Communicable Disease Control and Prevention, China CDC",GCA_003025365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/025/365/GCF_003025365.1_ASM302536v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003025365.1/GCF_003025365.1_ASM302536v1_genomic.fna.gz,STPY.0321.00066,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003025365.1_ASM302536v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003025365.1_ASM302536v1_genomic.fna_prepare-split125N.fna,1939844,1,1,GCF_003025365.1_ASM302536v1_genomic.fna_prepare-split125N.fna,ASM302536v1,TJ11-001,Streptococcus pyogenes TJ11-001
GCF_003203475.1,PRJNA224116,SAMN08569881,,,na,,1314,1314,Streptococcus pyogenes,strain=NGAS979,,latest,Complete Genome,Major,Full,2018/06/08,ASM320347v1,Public Health Ontario,GCA_003203475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/203/475/GCF_003203475.1_ASM320347v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003203475.1/GCF_003203475.1_ASM320347v1_genomic.fna.gz,STPY.0321.00067,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003203475.1_ASM320347v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003203475.1_ASM320347v1_genomic.fna_prepare-split125N.fna,1790938,1,1,GCF_003203475.1_ASM320347v1_genomic.fna_prepare-split125N.fna,ASM320347v1,NGAS979,Streptococcus pyogenes NGAS979
GCF_003352145.1,PRJNA224116,SAMN08714459,,,na,,1314,1314,Streptococcus pyogenes,strain=DMG1800716,,latest,Complete Genome,Major,Full,2018/08/01,ASM335214v1,University of Melbourne,GCA_003352145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/352/145/GCF_003352145.1_ASM335214v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003352145.1/GCF_003352145.1_ASM335214v1_genomic.fna.gz,STPY.0321.00009,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003352145.1_ASM335214v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003352145.1_ASM335214v1_genomic.fna_prepare-split125N.fna,1869673,1,1,GCF_003352145.1_ASM335214v1_genomic.fna_prepare-split125N.fna,ASM335214v1,DMG1800716,Streptococcus pyogenes DMG1800716
GCF_003609955.1,PRJNA224116,SAMD00084336,,,na,,1314,1314,Streptococcus pyogenes,strain=KS030,,latest,Complete Genome,Major,Full,2017/12/14,ASM360995v1,"Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",GCA_003609955.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/609/955/GCF_003609955.1_ASM360995v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003609955.1/GCF_003609955.1_ASM360995v1_genomic.fna.gz,STPY.0321.00007,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003609955.1_ASM360995v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003609955.1_ASM360995v1_genomic.fna_prepare-split125N.fna,1900008,1,1,GCF_003609955.1_ASM360995v1_genomic.fna_prepare-split125N.fna,ASM360995v1,KS030,Streptococcus pyogenes KS030
GCF_003640605.1,PRJNA224116,SAMN04230441,,,na,,1314,1314,Streptococcus pyogenes,strain=SASM4-Duke,,latest,Complete Genome,Major,Full,2018/10/12,ASM364060v1,Baylor College of Medicine,GCA_003640605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/640/605/GCF_003640605.1_ASM364060v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003640605.1/GCF_003640605.1_ASM364060v1_genomic.fna.gz,STPY.0321.00011,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003640605.1_ASM364060v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003640605.1_ASM364060v1_genomic.fna_prepare-split125N.fna,1903997,1,1,GCF_003640605.1_ASM364060v1_genomic.fna_prepare-split125N.fna,ASM364060v1,SASM4-Duke,Streptococcus pyogenes SASM4-Duke
GCF_003698205.1,PRJNA224116,SAMN09284928,,,na,,1314,1314,Streptococcus pyogenes,strain=ABC020055975,,latest,Complete Genome,Major,Full,2018/10/30,ASM369820v1,UTHSC/McGovern Medical School,GCA_003698205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/698/205/GCF_003698205.1_ASM369820v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003698205.1/GCF_003698205.1_ASM369820v1_genomic.fna.gz,STPY.0321.00013,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003698205.1_ASM369820v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003698205.1_ASM369820v1_genomic.fna_prepare-split125N.fna,1866513,1,1,GCF_003698205.1_ASM369820v1_genomic.fna_prepare-split125N.fna,ASM369820v1,ABC020055975,Streptococcus pyogenes ABC020055975
GCF_003812645.1,PRJNA224116,SAMN10163229,,,na,,1314,1314,Streptococcus pyogenes,strain=FDAARGOS_534,,latest,Complete Genome,Major,Full,2018/11/21,ASM381264v1,US Food and Drug Administration,GCA_003812645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/645/GCF_003812645.1_ASM381264v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003812645.1/GCF_003812645.1_ASM381264v1_genomic.fna.gz,STPY.0321.00016,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003812645.1_ASM381264v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003812645.1_ASM381264v1_genomic.fna_prepare-split125N.fna,1837737,1,1,GCF_003812645.1_ASM381264v1_genomic.fna_prepare-split125N.fna,ASM381264v1,FDAARGOS_534,Streptococcus pyogenes FDAARGOS_534
GCF_003812725.1,PRJNA224116,SAMN10163208,,,na,,1314,1314,Streptococcus pyogenes,strain=FDAARGOS_514,,latest,Complete Genome,Major,Full,2018/11/21,ASM381272v1,US Food and Drug Administration,GCA_003812725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/725/GCF_003812725.1_ASM381272v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003812725.1/GCF_003812725.1_ASM381272v1_genomic.fna.gz,STPY.0321.00217,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003812725.1_ASM381272v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003812725.1_ASM381272v1_genomic.fna_prepare-split125N.fna,1902112,2,1,GCF_003812725.1_ASM381272v1_genomic.fna_prepare-split125N.fna,ASM381272v1,FDAARGOS_514,Streptococcus pyogenes FDAARGOS_514
GCF_003814365.1,PRJNA224116,SAMN10416086,,,na,,1314,1314,Streptococcus pyogenes,strain=Duke-Large,,latest,Complete Genome,Major,Full,2018/11/23,ASM381436v1,UTHSC/McGovern Medical School,GCA_003814365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/814/365/GCF_003814365.1_ASM381436v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003814365.1/GCF_003814365.1_ASM381436v1_genomic.fna.gz,STPY.0321.00018,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003814365.1_ASM381436v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003814365.1_ASM381436v1_genomic.fna_prepare-split125N.fna,1903852,1,1,GCF_003814365.1_ASM381436v1_genomic.fna_prepare-split125N.fna,ASM381436v1,Duke-Large,Streptococcus pyogenes Duke-Large
GCF_003814385.1,PRJNA224116,SAMN10416088,,,na,,1314,1314,Streptococcus pyogenes,strain=RLGH,,latest,Complete Genome,Major,Full,2018/11/23,ASM381438v1,UTHSC/McGovern Medical School,GCA_003814385.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/814/385/GCF_003814385.1_ASM381438v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003814385.1/GCF_003814385.1_ASM381438v1_genomic.fna.gz,STPY.0321.00020,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003814385.1_ASM381438v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003814385.1_ASM381438v1_genomic.fna_prepare-split125N.fna,1903972,1,1,GCF_003814385.1_ASM381438v1_genomic.fna_prepare-split125N.fna,ASM381438v1,RLGH,Streptococcus pyogenes RLGH
GCF_004010855.1,PRJNA224116,SAMN08555909,,,na,,1314,1314,Streptococcus pyogenes,strain=MGAS27961,,latest,Complete Genome,Major,Full,2019/01/10,ASM401085v1,Houston Methodist Research Institute,GCA_004010855.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/855/GCF_004010855.1_ASM401085v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004010855.1/GCF_004010855.1_ASM401085v1_genomic.fna.gz,STPY.0321.00022,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004010855.1_ASM401085v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004010855.1_ASM401085v1_genomic.fna_prepare-split125N.fna,1853912,1,1,GCF_004010855.1_ASM401085v1_genomic.fna_prepare-split125N.fna,ASM401085v1,MGAS27961,Streptococcus pyogenes MGAS27961
GCF_004010875.1,PRJNA224116,SAMN08556030,,,na,,1314,1314,Streptococcus pyogenes,strain=MGAS28085,,latest,Complete Genome,Major,Full,2019/01/10,ASM401087v1,Houston Methodist Research Institute,GCA_004010875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/875/GCF_004010875.1_ASM401087v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004010875.1/GCF_004010875.1_ASM401087v1_genomic.fna.gz,STPY.0321.00024,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004010875.1_ASM401087v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004010875.1_ASM401087v1_genomic.fna_prepare-split125N.fna,1851471,1,1,GCF_004010875.1_ASM401087v1_genomic.fna_prepare-split125N.fna,ASM401087v1,MGAS28085,Streptococcus pyogenes MGAS28085
GCF_004028355.1,PRJNA224116,SAMN08915690,,,na,assembly from type material,1314,1314,Streptococcus pyogenes,strain=CCUG 4207,,latest,Complete Genome,Major,Full,2019/01/17,ASM402835v1,TAILORED-Treatment project,GCA_004028355.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/028/355/GCF_004028355.1_ASM402835v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004028355.1/GCF_004028355.1_ASM402835v1_genomic.fna.gz,STPY.0321.00026,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004028355.1_ASM402835v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004028355.1_ASM402835v1_genomic.fna_prepare-split125N.fna,1914862,1,1,GCF_004028355.1_ASM402835v1_genomic.fna_prepare-split125N.fna,ASM402835v1,CCUG 4207,Streptococcus pyogenes CCUG 4207
GCF_004123995.1,PRJNA224116,SAMN10172638,,,na,,1314,1314,Streptococcus pyogenes,strain=TSPY155,,latest,Complete Genome,Major,Full,2019/01/31,ASM412399v1,UTHSC/McGovern Medical School,GCA_004123995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/123/995/GCF_004123995.1_ASM412399v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004123995.1/GCF_004123995.1_ASM412399v1_genomic.fna.gz,STPY.0321.00028,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004123995.1_ASM412399v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004123995.1_ASM412399v1_genomic.fna_prepare-split125N.fna,1882327,1,1,GCF_004123995.1_ASM412399v1_genomic.fna_prepare-split125N.fna,ASM412399v1,TSPY155,Streptococcus pyogenes TSPY155
GCF_004124015.1,PRJNA224116,SAMN10172691,,,na,,1314,1314,Streptococcus pyogenes,strain=TSPY556,,latest,Complete Genome,Major,Full,2019/01/31,ASM412401v1,UTHSC/McGovern Medical School,GCA_004124015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/124/015/GCF_004124015.1_ASM412401v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004124015.1/GCF_004124015.1_ASM412401v1_genomic.fna.gz,STPY.0321.00218,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124015.1_ASM412401v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124015.1_ASM412401v1_genomic.fna_prepare-split125N.fna,1833100,2,1,GCF_004124015.1_ASM412401v1_genomic.fna_prepare-split125N.fna,ASM412401v1,TSPY556,Streptococcus pyogenes TSPY556
GCF_004124075.1,PRJNA224116,SAMN10172674,,,na,,1314,1314,Streptococcus pyogenes,strain=TSPY453,,latest,Complete Genome,Major,Full,2019/01/31,ASM412407v1,UTHSC/McGovern Medical School,GCA_004124075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/124/075/GCF_004124075.1_ASM412407v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004124075.1/GCF_004124075.1_ASM412407v1_genomic.fna.gz,STPY.0321.00031,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124075.1_ASM412407v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124075.1_ASM412407v1_genomic.fna_prepare-split125N.fna,1976011,1,1,GCF_004124075.1_ASM412407v1_genomic.fna_prepare-split125N.fna,ASM412407v1,TSPY453,Streptococcus pyogenes TSPY453
GCF_004124115.1,PRJNA224116,SAMN10172651,,,na,,1314,1314,Streptococcus pyogenes,strain=TSPY208,,latest,Complete Genome,Major,Full,2019/01/31,ASM412411v1,UTHSC/McGovern Medical School,GCA_004124115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/124/115/GCF_004124115.1_ASM412411v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004124115.1/GCF_004124115.1_ASM412411v1_genomic.fna.gz,STPY.0321.00033,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124115.1_ASM412411v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124115.1_ASM412411v1_genomic.fna_prepare-split125N.fna,1801696,1,1,GCF_004124115.1_ASM412411v1_genomic.fna_prepare-split125N.fna,ASM412411v1,TSPY208,Streptococcus pyogenes TSPY208
GCF_004124135.1,PRJNA224116,SAMN10172669,,,na,,1314,1314,Streptococcus pyogenes,strain=TSPY165,,latest,Complete Genome,Major,Full,2019/01/31,ASM412413v1,UTHSC/McGovern Medical School,GCA_004124135.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/124/135/GCF_004124135.1_ASM412413v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004124135.1/GCF_004124135.1_ASM412413v1_genomic.fna.gz,STPY.0321.00035,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124135.1_ASM412413v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124135.1_ASM412413v1_genomic.fna_prepare-split125N.fna,1812036,1,1,GCF_004124135.1_ASM412413v1_genomic.fna_prepare-split125N.fna,ASM412413v1,TSPY165,Streptococcus pyogenes TSPY165
GCF_004135875.1,PRJNA224116,SAMN10397505,,,na,,1314,1314,Streptococcus pyogenes,strain=M75,,latest,Complete Genome,Major,Full,2019/02/04,ASM413587v1,University of Melbourne,GCA_004135875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/875/GCF_004135875.1_ASM413587v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004135875.1/GCF_004135875.1_ASM413587v1_genomic.fna.gz,STPY.0321.00037,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004135875.1_ASM413587v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004135875.1_ASM413587v1_genomic.fna_prepare-split125N.fna,1852894,1,1,GCF_004135875.1_ASM413587v1_genomic.fna_prepare-split125N.fna,ASM413587v1,M75,Streptococcus pyogenes M75
GCF_004153945.1,PRJNA224116,SAMN08555653,,,na,,1314,1314,Streptococcus pyogenes,strain=MGAS8347,,latest,Complete Genome,Major,Full,2019/02/11,ASM415394v1,Houston Methodist Research Institute,GCA_004153945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/153/945/GCF_004153945.1_ASM415394v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004153945.1/GCF_004153945.1_ASM415394v1_genomic.fna.gz,STPY.0321.00039,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004153945.1_ASM415394v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004153945.1_ASM415394v1_genomic.fna_prepare-split125N.fna,1833822,1,1,GCF_004153945.1_ASM415394v1_genomic.fna_prepare-split125N.fna,ASM415394v1,MGAS8347,Streptococcus pyogenes MGAS8347
GCF_004153965.1,PRJNA224116,SAMN08555729,,,na,,1314,1314,Streptococcus pyogenes,strain=MGAS10786,,latest,Complete Genome,Major,Full,2019/02/11,ASM415396v1,Houston Methodist Research Institute,GCA_004153965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/153/965/GCF_004153965.1_ASM415396v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004153965.1/GCF_004153965.1_ASM415396v1_genomic.fna.gz,STPY.0321.00041,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004153965.1_ASM415396v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004153965.1_ASM415396v1_genomic.fna_prepare-split125N.fna,1937069,1,1,GCF_004153965.1_ASM415396v1_genomic.fna_prepare-split125N.fna,ASM415396v1,MGAS10786,Streptococcus pyogenes MGAS10786
GCF_004153985.1,PRJNA224116,SAMN08555548,,,na,,1314,1314,Streptococcus pyogenes,strain=MGAS7914,,latest,Complete Genome,Major,Full,2019/02/11,ASM415398v1,Houston Methodist Research Institute,GCA_004153985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/153/985/GCF_004153985.1_ASM415398v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004153985.1/GCF_004153985.1_ASM415398v1_genomic.fna.gz,STPY.0321.00043,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004153985.1_ASM415398v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004153985.1_ASM415398v1_genomic.fna_prepare-split125N.fna,1885126,1,1,GCF_004153985.1_ASM415398v1_genomic.fna_prepare-split125N.fna,ASM415398v1,MGAS7914,Streptococcus pyogenes MGAS7914
GCF_004154005.1,PRJNA224116,SAMN08555522,,,na,,1314,1314,Streptococcus pyogenes,strain=MGAS7888,,latest,Complete Genome,Major,Full,2019/02/11,ASM415400v1,Houston Methodist Research Institute,GCA_004154005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/154/005/GCF_004154005.1_ASM415400v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004154005.1/GCF_004154005.1_ASM415400v1_genomic.fna.gz,STPY.0321.00045,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154005.1_ASM415400v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154005.1_ASM415400v1_genomic.fna_prepare-split125N.fna,1962429,1,1,GCF_004154005.1_ASM415400v1_genomic.fna_prepare-split125N.fna,ASM415400v1,MGAS7888,Streptococcus pyogenes MGAS7888
GCF_004154025.1,PRJNA224116,SAMN08563099,,,na,,1314,1314,Streptococcus pyogenes,strain=MGAS29409,,latest,Complete Genome,Major,Full,2019/02/11,ASM415402v1,Houston Methodist Research Institute,GCA_004154025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/154/025/GCF_004154025.1_ASM415402v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_004154025.1/GCF_004154025.1_ASM415402v1_genomic.fna.gz,STPY.0321.00047,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154025.1_ASM415402v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154025.1_ASM415402v1_genomic.fna_prepare-split125N.fna,1894040,1,1,GCF_004154025.1_ASM415402v1_genomic.fna_prepare-split125N.fna,ASM415402v1,MGAS29409,Streptococcus pyogenes MGAS29409
