block,species,chr,chr_beg,chr_end,orientation
47,STPY.0321.00068,1,598310,605207,+
47,STPY.0321.00050,1,1264493,1271389,-
47,STPY.0321.00201,1,1240148,1247039,-
47,STPY.0321.00056,1,598827,605724,+
47,STPY.0321.00133,1,1310326,1317211,-
47,STPY.0321.00134,1,562226,569123,+
47,STPY.0321.00078,1,597480,604377,+
47,STPY.0321.00115,1,695533,702431,+
47,STPY.0321.00001,1,1182602,1189498,-
47,STPY.0321.00053,1,1237142,1244038,-
47,STPY.0321.00202,1,1272108,1279004,-
47,STPY.0321.00113,1,1182651,1189547,-
47,STPY.0321.00114,1,1182874,1189770,-
47,STPY.0321.00121,1,1187941,1194837,-
47,STPY.0321.00137,1,1310064,1316949,-
47,STPY.0321.00161,1,1192171,1199068,-
47,STPY.0321.00205,1,1317505,1323992,-
47,STPY.0321.00131,1,1257332,1264223,-
47,STPY.0321.00147,1,614716,621613,+
47,STPY.0321.00126,1,1296464,1302951,-
47,STPY.0321.00116,1,1781072,1787970,-
47,STPY.0321.00187,1,1260255,1266742,-
47,STPY.0321.00120,1,619307,626204,+
47,STPY.0321.00100,1,558712,565610,+
47,STPY.0321.00032,1,597514,604411,+
47,STPY.0321.00195,1,1283812,1290708,-
47,STPY.0321.00104,1,1206004,1212900,-
47,STPY.0321.00160,1,1147971,1154867,-
47,STPY.0321.00063,1,1327941,1334837,-
47,STPY.0321.00073,1,599241,606138,+
47,STPY.0321.00125,1,1339145,1345632,-
47,STPY.0321.00123,1,1302645,1309132,-
47,STPY.0321.00194,1,1227266,1234138,-
47,STPY.0321.00059,1,1242071,1248967,-
47,STPY.0321.00135,1,602255,609152,+
47,STPY.0321.00151,1,565786,572683,+
47,STPY.0321.00005,1,1229250,1236146,-
47,STPY.0321.00143,1,406782,413679,+
47,STPY.0321.00088,1,569897,576794,+
47,STPY.0321.00163,1,569966,576863,+
47,STPY.0321.00174,1,1192216,1199112,-
47,STPY.0321.00037,1,1248175,1255071,-
47,STPY.0321.00153,1,272229,279116,+
47,STPY.0321.00044,1,1148273,1155169,-
47,STPY.0321.00164,1,1251727,1258623,-
47,STPY.0321.00166,1,562053,568950,+
47,STPY.0321.00154,1,567276,574173,+
47,STPY.0321.00055,1,1328130,1335026,-
47,STPY.0321.00074,1,599261,606158,+
47,STPY.0321.00112,1,1187538,1194434,-
47,STPY.0321.00144,1,1251570,1258466,-
47,STPY.0321.00157,1,651105,658002,+
47,STPY.0321.00041,1,598539,605436,+
47,STPY.0321.00119,1,597824,604721,+
47,STPY.0321.00118,1,555816,562304,+
47,STPY.0321.00049,1,598087,604984,+
47,STPY.0321.00046,1,1182192,1189088,-
47,STPY.0321.00043,1,598307,605204,+
47,STPY.0321.00038,1,1333645,1340542,+
47,STPY.0321.00117,1,1263502,1270393,-
47,STPY.0321.00042,1,1223761,1230656,-
47,STPY.0321.00028,1,1289038,1295910,-
47,STPY.0321.00019,1,566081,572978,+
47,STPY.0321.00124,1,555672,562160,+
47,STPY.0321.00207,1,1202030,1208926,-
47,STPY.0321.00214,1,1238807,1245698,-
47,STPY.0321.00138,1,565052,571949,+
47,STPY.0321.00210,1,669231,676128,+
47,STPY.0321.00172,1,576095,582979,+
47,STPY.0321.00069,1,1270223,1277119,-
47,STPY.0321.00182,1,1275219,1282115,-
47,STPY.0321.00024,1,596928,603825,+
47,STPY.0321.00058,1,597166,604063,+
47,STPY.0321.00159,1,556005,562493,+
47,STPY.0321.00188,1,1324266,1331157,-
47,STPY.0321.00186,1,1257216,1264107,-
47,STPY.0321.00111,1,1246435,1253326,-
47,STPY.0321.00185,1,1280344,1287235,-
47,STPY.0321.00190,1,599169,606066,+
47,STPY.0321.00180,1,562458,569355,+
47,STPY.0321.00023,1,599521,606418,+
47,STPY.0321.00184,1,555809,562706,+
47,STPY.0321.00183,1,1328445,1335334,-
47,STPY.0321.00047,1,639369,646266,+
47,STPY.0321.00039,1,639400,646297,+
47,STPY.0321.00076,1,598352,605249,+
47,STPY.0321.00027,1,1325853,1332749,-
47,STPY.0321.00034,1,1193796,1200687,-
47,STPY.0321.00052,1,610235,617132,+
47,STPY.0321.00029,1,1324476,1331367,-
47,STPY.0321.00054,1,598109,605006,+
47,STPY.0321.00150,1,1310325,1317211,-
47,STPY.0321.00011,1,1334086,1340573,-
47,STPY.0321.00009,1,1273170,1280066,-
47,STPY.0321.00020,1,1334061,1340548,-
47,STPY.0321.00014,1,1162868,1169764,-
47,STPY.0321.00018,1,1334068,1340555,-
47,STPY.0321.00012,1,1296314,1303207,-
47,STPY.0321.00045,1,1297477,1304373,-
47,STPY.0321.00004,1,591483,598380,+
47,STPY.0321.00015,1,1231407,1238303,-
47,STPY.0321.00025,1,591770,598667,+
47,STPY.0321.00022,1,597825,604722,+
47,STPY.0321.00149,1,1223114,1230011,-
47,STPY.0321.00026,1,1318020,1324916,-
47,STPY.0321.00016,1,1263514,1270410,-
46,STPY.0321.00072,1,590734,595296,+
46,STPY.0321.00071,1,591713,596275,+
46,STPY.0321.00070,1,590678,595240,+
46,STPY.0321.00079,1,1285151,1289695,-
46,STPY.0321.00080,1,1261436,1266061,-
46,STPY.0321.00062,1,591463,596025,+
46,STPY.0321.00061,1,625752,630292,+
46,STPY.0321.00082,1,1246606,1251151,-
46,STPY.0321.00057,1,625752,630292,+
46,STPY.0321.00067,1,1229752,1234297,-
46,STPY.0321.00065,1,591775,596337,+
46,STPY.0321.00066,1,1346116,1350660,-
46,STPY.0321.00064,1,1265399,1269944,-
46,STPY.0321.00077,1,593324,597886,+
46,STPY.0321.00101,1,1271485,1276026,-
46,STPY.0321.00102,1,1247194,1251735,-
46,STPY.0321.00108,1,619477,623973,+
46,STPY.0321.00103,1,1261776,1266320,-
46,STPY.0321.00109,1,567678,572240,+
46,STPY.0321.00105,1,1202673,1207210,-
46,STPY.0321.00087,1,574496,579040,+
46,STPY.0321.00097,1,1264393,1268453,-
46,STPY.0321.00089,1,1202405,1206949,-
46,STPY.0321.00075,1,591515,596077,+
46,STPY.0321.00083,1,1291537,1296075,-
46,STPY.0321.00086,1,1358653,1363278,-
46,STPY.0321.00085,1,555608,560153,+
46,STPY.0321.00094,1,1219225,1223769,-
46,STPY.0321.00096,1,1230736,1235278,-
46,STPY.0321.00093,1,1282584,1287128,-
46,STPY.0321.00091,1,1280716,1285256,-
46,STPY.0321.00217,1,317191,321687,-
46,STPY.0321.00219,1,1396944,1401488,+
46,STPY.0321.00213,1,1267145,1271686,-
46,STPY.0321.00216,1,613858,618354,+
46,STPY.0321.00197,1,1306354,1310899,-
46,STPY.0321.00203,1,1242904,1247448,-
46,STPY.0321.00218,1,556622,561164,+
46,STPY.0321.00204,1,1307566,1312107,-
46,STPY.0321.00199,1,1278652,1283148,-
46,STPY.0321.00110,1,471587,476128,-
46,STPY.0321.00200,1,1296851,1301304,-
46,STPY.0321.00099,1,614683,619227,+
46,STPY.0321.00051,1,633890,638452,+
46,STPY.0321.00198,1,613737,618233,+
46,STPY.0321.00128,1,636776,641321,+
46,STPY.0321.00033,1,1249419,1253960,-
46,STPY.0321.00130,1,636776,641321,+
46,STPY.0321.00129,1,1247705,1252250,-
46,STPY.0321.00127,1,575072,579616,+
46,STPY.0321.00208,1,1170608,1175146,-
46,STPY.0321.00068,1,592383,596945,+
46,STPY.0321.00050,1,1272755,1277300,-
46,STPY.0321.00201,1,1248405,1252946,-
46,STPY.0321.00056,1,592900,597462,+
46,STPY.0321.00133,1,1318576,1323204,-
46,STPY.0321.00134,1,556298,560861,+
46,STPY.0321.00078,1,591553,596115,+
46,STPY.0321.00132,1,637164,641709,+
46,STPY.0321.00115,1,689628,694169,+
46,STPY.0321.00001,1,1190864,1195422,-
46,STPY.0321.00053,1,1245404,1249966,-
46,STPY.0321.00090,1,546155,550699,+
46,STPY.0321.00202,1,1280370,1284932,-
46,STPY.0321.00048,1,1201406,1205951,-
46,STPY.0321.00113,1,1190913,1195471,-
46,STPY.0321.00114,1,1191136,1195694,-
46,STPY.0321.00121,1,1196203,1200761,-
46,STPY.0321.00137,1,1318314,1322942,-
46,STPY.0321.00161,1,1200434,1204975,-
46,STPY.0321.00007,1,619819,624315,+
46,STPY.0321.00205,1,1325358,1329903,-
46,STPY.0321.00131,1,1265589,1270130,-
46,STPY.0321.00147,1,608807,613351,+
46,STPY.0321.00126,1,1304317,1308862,-
46,STPY.0321.00098,1,563338,567880,+
46,STPY.0321.00116,1,1789334,1793875,-
46,STPY.0321.00156,1,1293678,1298223,-
46,STPY.0321.00187,1,1268108,1272653,-
46,STPY.0321.00120,1,613385,617943,+
46,STPY.0321.00100,1,552720,557348,+
46,STPY.0321.00032,1,591587,596149,+
46,STPY.0321.00195,1,1292074,1296615,-
46,STPY.0321.00084,1,553019,557556,+
46,STPY.0321.00215,1,1231453,1235998,-
46,STPY.0321.00148,1,1211193,1215738,-
46,STPY.0321.00104,1,1214266,1218807,-
46,STPY.0321.00171,1,1213885,1218447,-
46,STPY.0321.00003,1,613696,618192,+
46,STPY.0321.00162,1,1318653,1323198,-
46,STPY.0321.00160,1,1156233,1160791,-
46,STPY.0321.00142,1,628522,633059,+
46,STPY.0321.00063,1,1336203,1340745,-
46,STPY.0321.00107,1,584289,588834,+
46,STPY.0321.00140,1,1204704,1209249,-
46,STPY.0321.00073,1,593314,597876,+
46,STPY.0321.00125,1,1346998,1351543,-
46,STPY.0321.00123,1,1310498,1315043,-
46,STPY.0321.00136,1,540813,545355,+
46,STPY.0321.00194,1,1235504,1239564,-
46,STPY.0321.00145,1,1198437,1202977,-
46,STPY.0321.00059,1,1250333,1254875,-
46,STPY.0321.00135,1,596349,600890,+
46,STPY.0321.00151,1,559877,564421,+
46,STPY.0321.00005,1,1237512,1242074,-
46,STPY.0321.00206,1,1222496,1227049,-
46,STPY.0321.00139,1,1006241,1010785,-
46,STPY.0321.00143,1,400859,405417,+
46,STPY.0321.00176,1,557731,562275,+
46,STPY.0321.00088,1,563988,568533,+
46,STPY.0321.00163,1,564057,568602,+
46,STPY.0321.00174,1,1200478,1205022,-
46,STPY.0321.00037,1,1256437,1260979,-
46,STPY.0321.00153,1,266237,270865,+
46,STPY.0321.00044,1,1156535,1161093,-
46,STPY.0321.00164,1,1259989,1264530,-
46,STPY.0321.00060,1,1216820,1221362,-
46,STPY.0321.00166,1,556147,560688,+
46,STPY.0321.00192,1,671667,676208,-
46,STPY.0321.00193,1,619767,624312,+
46,STPY.0321.00154,1,561367,565911,+
46,STPY.0321.00055,1,1336392,1340934,-
46,STPY.0321.00155,1,581609,586154,+
46,STPY.0321.00074,1,593334,597896,+
46,STPY.0321.00167,1,578534,583079,+
46,STPY.0321.00112,1,1195800,1200358,-
46,STPY.0321.00169,1,1272908,1277453,-
46,STPY.0321.00144,1,1259832,1264377,-
46,STPY.0321.00157,1,645115,649740,+
46,STPY.0321.00168,1,1240966,1245526,-
46,STPY.0321.00041,1,592612,597174,+
46,STPY.0321.00146,1,544114,548659,+
46,STPY.0321.00119,1,591897,596459,+
46,STPY.0321.00118,1,549906,554451,+
46,STPY.0321.00049,1,592160,596722,+
46,STPY.0321.00046,1,1190454,1195012,-
46,STPY.0321.00043,1,592380,596942,+
46,STPY.0321.00152,1,1279870,1284415,-
46,STPY.0321.00141,1,1288249,1292790,-
46,STPY.0321.00038,1,1327739,1332280,+
46,STPY.0321.00117,1,1271759,1276300,-
46,STPY.0321.00122,1,1361176,1365721,-
46,STPY.0321.00042,1,1232022,1236580,-
46,STPY.0321.00028,1,1297276,1301336,-
46,STPY.0321.00019,1,560172,564716,+
46,STPY.0321.00092,1,1148205,1152747,-
46,STPY.0321.00124,1,549762,554307,+
46,STPY.0321.00207,1,1210292,1214835,-
46,STPY.0321.00209,1,1212267,1216805,-
46,STPY.0321.00214,1,1247064,1251605,-
46,STPY.0321.00191,1,613127,617680,+
46,STPY.0321.00211,1,1185862,1190403,-
46,STPY.0321.00138,1,559143,563687,+
46,STPY.0321.00002,1,355828,360368,-
46,STPY.0321.00212,1,1185028,1189569,-
46,STPY.0321.00210,1,663322,667866,+
46,STPY.0321.00173,1,1211049,1215593,-
46,STPY.0321.00175,1,1197609,1202154,-
46,STPY.0321.00172,1,570180,574733,+
46,STPY.0321.00170,1,1324583,1329124,-
46,STPY.0321.00069,1,1278485,1283047,-
46,STPY.0321.00179,1,555194,559735,+
46,STPY.0321.00182,1,1283481,1288039,-
46,STPY.0321.00189,1,1272556,1277097,-
46,STPY.0321.00010,1,1146845,1151390,-
46,STPY.0321.00024,1,591001,595563,+
46,STPY.0321.00058,1,591239,595801,+
46,STPY.0321.00021,1,540197,544742,+
46,STPY.0321.00159,1,550095,554640,+
46,STPY.0321.00178,1,1187697,1192250,-
46,STPY.0321.00188,1,1332522,1337063,-
46,STPY.0321.00040,1,1255730,1260283,-
46,STPY.0321.00106,1,1278387,1282933,-
46,STPY.0321.00017,1,1357940,1362485,-
46,STPY.0321.00186,1,1265473,1270014,-
46,STPY.0321.00111,1,1254692,1259233,-
46,STPY.0321.00030,1,1189597,1194142,-
46,STPY.0321.00185,1,1288601,1293142,-
46,STPY.0321.00190,1,593242,597804,+
46,STPY.0321.00180,1,556468,561093,+
46,STPY.0321.00181,1,1146164,1150709,-
46,STPY.0321.00023,1,593594,598156,+
46,STPY.0321.00184,1,549903,554444,+
46,STPY.0321.00183,1,1336700,1341242,-
46,STPY.0321.00165,1,1201046,1205586,-
46,STPY.0321.00047,1,633442,638004,+
46,STPY.0321.00095,1,1194277,1199034,-
46,STPY.0321.00039,1,633473,638035,+
46,STPY.0321.00036,1,1367347,1371905,-
46,STPY.0321.00076,1,592425,596987,+
46,STPY.0321.00035,1,587973,592512,+
46,STPY.0321.00027,1,1334115,1338677,-
46,STPY.0321.00031,1,1340747,1345288,-
46,STPY.0321.00034,1,1202053,1206594,-
46,STPY.0321.00158,1,361840,366384,+
46,STPY.0321.00052,1,604308,608870,+
46,STPY.0321.00029,1,1332732,1337273,-
46,STPY.0321.00054,1,592182,596744,+
46,STPY.0321.00150,1,1318576,1323204,-
46,STPY.0321.00177,1,557755,562293,+
46,STPY.0321.00011,1,1341939,1346484,-
46,STPY.0321.00009,1,1281432,1285976,-
46,STPY.0321.00020,1,1341914,1346459,-
46,STPY.0321.00008,1,1185862,1190403,-
46,STPY.0321.00013,1,663674,668170,+
46,STPY.0321.00014,1,1171130,1175688,-
46,STPY.0321.00018,1,1341921,1346466,-
46,STPY.0321.00012,1,1304573,1309117,-
46,STPY.0321.00081,1,1297816,1302361,-
46,STPY.0321.00045,1,1305739,1310301,-
46,STPY.0321.00004,1,585578,590119,+
46,STPY.0321.00006,1,941790,946334,-
46,STPY.0321.00196,1,584484,589029,+
46,STPY.0321.00015,1,1239669,1244210,-
46,STPY.0321.00025,1,585864,590405,+
46,STPY.0321.00022,1,591898,596460,+
46,STPY.0321.00149,1,1231377,1235921,-
46,STPY.0321.00026,1,1326281,1330822,-
46,STPY.0321.00016,1,1271776,1276320,-
45,STPY.0321.00072,1,568109,589266,+
45,STPY.0321.00071,1,569108,590247,+
45,STPY.0321.00070,1,568073,589212,+
45,STPY.0321.00062,1,568835,589995,+
45,STPY.0321.00065,1,569290,590309,+
45,STPY.0321.00077,1,570719,591858,+
45,STPY.0321.00075,1,568890,590047,+
45,STPY.0321.00204,1,1312263,1333402,-
45,STPY.0321.00051,1,611285,632424,+
45,STPY.0321.00068,1,569774,590918,+
45,STPY.0321.00056,1,570268,591431,+
45,STPY.0321.00078,1,568948,590087,+
45,STPY.0321.00053,1,1251437,1272576,-
45,STPY.0321.00202,1,1286397,1307536,-
45,STPY.0321.00032,1,568983,590121,+
45,STPY.0321.00073,1,570709,591848,+
45,STPY.0321.00005,1,1243539,1264558,-
45,STPY.0321.00074,1,570729,591868,+
45,STPY.0321.00041,1,570007,591146,+
45,STPY.0321.00119,1,569292,590431,+
45,STPY.0321.00049,1,569536,590692,+
45,STPY.0321.00043,1,569775,590914,+
45,STPY.0321.00170,1,1329280,1350418,-
45,STPY.0321.00069,1,1284512,1305651,-
45,STPY.0321.00189,1,1277253,1298391,-
45,STPY.0321.00024,1,568396,589535,+
45,STPY.0321.00058,1,568634,589773,+
45,STPY.0321.00190,1,570637,591776,+
45,STPY.0321.00023,1,570989,592128,+
45,STPY.0321.00047,1,610830,631975,+
45,STPY.0321.00039,1,610868,632007,+
45,STPY.0321.00076,1,569820,590959,+
45,STPY.0321.00027,1,1340142,1361281,-
45,STPY.0321.00031,1,1345444,1366565,-
45,STPY.0321.00052,1,581688,602842,+
45,STPY.0321.00054,1,569577,590716,+
45,STPY.0321.00045,1,1311766,1332905,-
45,STPY.0321.00022,1,569293,590432,+
44,STPY.0321.00072,1,558975,568108,+
44,STPY.0321.00071,1,560208,569107,+
44,STPY.0321.00070,1,558939,568072,+
44,STPY.0321.00062,1,559689,568834,+
44,STPY.0321.00065,1,560380,569289,+
44,STPY.0321.00077,1,561585,570718,+
44,STPY.0321.00075,1,559990,568889,+
44,STPY.0321.00204,1,1333404,1342537,-
44,STPY.0321.00051,1,602151,611284,+
44,STPY.0321.00068,1,560874,569773,+
44,STPY.0321.00056,1,561117,570267,+
44,STPY.0321.00078,1,559814,568947,+
44,STPY.0321.00053,1,1272578,1281710,-
44,STPY.0321.00202,1,1307538,1316671,-
44,STPY.0321.00032,1,559849,568982,+
44,STPY.0321.00073,1,561575,570708,+
44,STPY.0321.00005,1,1264560,1273693,-
44,STPY.0321.00074,1,561595,570728,+
44,STPY.0321.00041,1,560873,570006,+
44,STPY.0321.00119,1,560158,569291,+
44,STPY.0321.00049,1,560636,569535,+
44,STPY.0321.00043,1,560875,569774,+
44,STPY.0321.00170,1,1350420,1359553,-
44,STPY.0321.00069,1,1305653,1314786,-
44,STPY.0321.00189,1,1298393,1307526,-
44,STPY.0321.00024,1,559496,568395,+
44,STPY.0321.00058,1,559734,568633,+
44,STPY.0321.00190,1,561503,570636,+
44,STPY.0321.00023,1,561855,570988,+
44,STPY.0321.00047,1,601696,610829,+
44,STPY.0321.00039,1,601734,610867,+
44,STPY.0321.00076,1,560920,569819,+
44,STPY.0321.00027,1,1361283,1370416,-
44,STPY.0321.00031,1,1366567,1375693,-
44,STPY.0321.00052,1,558549,567436,+
44,STPY.0321.00054,1,560443,569576,+
44,STPY.0321.00045,1,1332907,1342007,-
44,STPY.0321.00022,1,560419,569292,+
43,STPY.0321.00072,1,555738,558811,+
43,STPY.0321.00071,1,555075,558148,+
43,STPY.0321.00070,1,554991,558064,+
43,STPY.0321.00062,1,555741,558814,+
43,STPY.0321.00065,1,555717,558789,+
43,STPY.0321.00077,1,555741,558814,+
43,STPY.0321.00075,1,555093,558167,+
43,STPY.0321.00204,1,1343885,1346960,-
43,STPY.0321.00051,1,596544,599617,+
43,STPY.0321.00068,1,555741,558814,+
43,STPY.0321.00056,1,555743,558815,+
43,STPY.0321.00078,1,555630,558702,+
43,STPY.0321.00053,1,1284717,1287792,-
43,STPY.0321.00202,1,1319678,1322753,-
43,STPY.0321.00032,1,555191,558263,+
43,STPY.0321.00073,1,555730,558804,+
43,STPY.0321.00005,1,1275278,1278351,-
43,STPY.0321.00074,1,555751,558824,+
43,STPY.0321.00041,1,555740,558813,+
43,STPY.0321.00119,1,555499,558572,+
43,STPY.0321.00049,1,555741,558813,+
43,STPY.0321.00043,1,555742,558815,+
43,STPY.0321.00170,1,1361612,1364686,-
43,STPY.0321.00069,1,1316134,1319208,-
43,STPY.0321.00189,1,1308637,1311710,-
43,STPY.0321.00024,1,555074,558147,+
43,STPY.0321.00058,1,555075,558148,+
43,STPY.0321.00190,1,555659,558732,+
43,STPY.0321.00023,1,555775,558847,+
43,STPY.0321.00047,1,596549,599633,+
43,STPY.0321.00039,1,596363,599437,+
43,STPY.0321.00076,1,555076,558149,+
43,STPY.0321.00027,1,1373423,1376496,-
43,STPY.0321.00031,1,1376567,1379631,-
43,STPY.0321.00052,1,555076,558148,+
43,STPY.0321.00054,1,555074,558146,+
43,STPY.0321.00045,1,1344099,1347173,-
43,STPY.0321.00022,1,555078,558150,+
42,STPY.0321.00072,1,542956,555728,+
42,STPY.0321.00071,1,542293,555065,+
42,STPY.0321.00070,1,542209,554981,+
42,STPY.0321.00079,1,1289905,1302660,-
42,STPY.0321.00080,1,1266271,1279026,-
42,STPY.0321.00062,1,542959,555731,+
42,STPY.0321.00061,1,611700,624455,+
42,STPY.0321.00082,1,1252448,1265203,-
42,STPY.0321.00057,1,611700,624455,+
42,STPY.0321.00067,1,1234507,1247279,-
42,STPY.0321.00065,1,542935,555707,+
42,STPY.0321.00066,1,1350870,1363625,-
42,STPY.0321.00064,1,1271241,1283996,-
42,STPY.0321.00077,1,542959,555731,+
42,STPY.0321.00101,1,1276238,1288992,-
42,STPY.0321.00102,1,1251946,1264718,-
42,STPY.0321.00108,1,606491,619265,+
42,STPY.0321.00103,1,1266532,1279274,-
42,STPY.0321.00109,1,553402,566158,+
42,STPY.0321.00105,1,1207422,1220177,-
42,STPY.0321.00087,1,561528,574285,+
42,STPY.0321.00097,1,1268664,1281419,-
42,STPY.0321.00089,1,1207160,1219915,-
42,STPY.0321.00075,1,542311,555083,+
42,STPY.0321.00083,1,1297643,1310367,-
42,STPY.0321.00086,1,1363490,1376262,-
42,STPY.0321.00085,1,542624,555397,+
42,STPY.0321.00094,1,1223981,1236735,-
42,STPY.0321.00096,1,1235489,1248261,-
42,STPY.0321.00093,1,1287339,1300111,-
42,STPY.0321.00091,1,1286553,1299307,-
42,STPY.0321.00217,1,321899,334672,-
42,STPY.0321.00219,1,1383978,1396734,+
42,STPY.0321.00213,1,1271898,1284652,-
42,STPY.0321.00216,1,600871,613646,+
42,STPY.0321.00197,1,1311112,1323883,-
42,STPY.0321.00203,1,1247658,1260413,-
42,STPY.0321.00218,1,543654,556410,+
42,STPY.0321.00204,1,1346970,1359724,-
42,STPY.0321.00199,1,1283360,1296133,-
42,STPY.0321.00110,1,476340,489094,-
42,STPY.0321.00200,1,1301515,1314287,-
42,STPY.0321.00099,1,601715,614472,+
42,STPY.0321.00051,1,583762,596534,+
42,STPY.0321.00198,1,600751,613525,+
42,STPY.0321.00128,1,623792,636565,+
42,STPY.0321.00033,1,1254171,1266926,-
42,STPY.0321.00130,1,623792,636565,+
42,STPY.0321.00129,1,1252461,1265233,-
42,STPY.0321.00127,1,562103,574860,+
42,STPY.0321.00208,1,1175357,1188112,-
42,STPY.0321.00068,1,542959,555731,+
42,STPY.0321.00050,1,1277511,1290285,-
42,STPY.0321.00201,1,1253158,1265912,-
42,STPY.0321.00056,1,542961,555733,+
42,STPY.0321.00133,1,1323415,1336187,-
42,STPY.0321.00134,1,542022,554778,+
42,STPY.0321.00078,1,542848,555620,+
42,STPY.0321.00132,1,623111,635867,+
42,STPY.0321.00115,1,676661,689416,+
42,STPY.0321.00001,1,1196941,1209696,-
42,STPY.0321.00053,1,1287802,1300573,-
42,STPY.0321.00090,1,533188,545944,+
42,STPY.0321.00202,1,1322763,1335534,-
42,STPY.0321.00048,1,1206163,1218918,-
42,STPY.0321.00113,1,1196990,1209745,-
42,STPY.0321.00114,1,1197213,1209968,-
42,STPY.0321.00121,1,1202280,1215035,-
42,STPY.0321.00137,1,1323153,1335925,-
42,STPY.0321.00161,1,1205186,1217940,-
42,STPY.0321.00007,1,606833,619607,+
42,STPY.0321.00205,1,1330114,1342886,-
42,STPY.0321.00131,1,1270342,1283096,-
42,STPY.0321.00147,1,595839,608596,+
42,STPY.0321.00126,1,1309074,1321846,-
42,STPY.0321.00098,1,550355,563127,+
42,STPY.0321.00116,1,1794087,1806841,-
42,STPY.0321.00156,1,1299520,1312275,-
42,STPY.0321.00187,1,1272865,1285637,-
42,STPY.0321.00120,1,599113,611866,+
42,STPY.0321.00100,1,539753,552509,+
42,STPY.0321.00032,1,542409,555181,+
42,STPY.0321.00195,1,1298184,1310907,-
42,STPY.0321.00084,1,540036,552809,+
42,STPY.0321.00215,1,1237295,1250050,-
42,STPY.0321.00148,1,1215949,1228704,-
42,STPY.0321.00104,1,1219018,1231773,-
42,STPY.0321.00171,1,1219966,1232721,-
42,STPY.0321.00003,1,600710,613484,+
42,STPY.0321.00162,1,1324495,1337249,-
42,STPY.0321.00160,1,1162310,1175065,-
42,STPY.0321.00142,1,615555,628311,+
42,STPY.0321.00063,1,1340956,1353711,-
42,STPY.0321.00107,1,571305,584078,+
42,STPY.0321.00140,1,1209460,1222232,-
42,STPY.0321.00073,1,542948,555720,+
42,STPY.0321.00125,1,1351755,1364527,-
42,STPY.0321.00123,1,1315255,1328027,-
42,STPY.0321.00136,1,527846,540602,+
42,STPY.0321.00194,1,1239775,1252531,-
42,STPY.0321.00145,1,1204274,1217028,-
42,STPY.0321.00059,1,1255086,1267841,-
42,STPY.0321.00135,1,583382,596138,+
42,STPY.0321.00151,1,546893,559666,+
42,STPY.0321.00005,1,1278361,1291132,-
42,STPY.0321.00206,1,1227261,1240016,-
42,STPY.0321.00139,1,1010997,1023752,-
42,STPY.0321.00143,1,1207663,1220417,-
42,STPY.0321.00176,1,544746,557519,+
42,STPY.0321.00088,1,551004,563777,+
42,STPY.0321.00163,1,551073,563846,+
42,STPY.0321.00174,1,1205232,1217987,-
42,STPY.0321.00037,1,1261190,1273945,-
42,STPY.0321.00153,1,253253,266026,+
42,STPY.0321.00044,1,1162612,1175367,-
42,STPY.0321.00164,1,1264741,1277496,-
42,STPY.0321.00060,1,1221573,1234344,-
42,STPY.0321.00166,1,543178,555935,+
42,STPY.0321.00192,1,676419,689191,-
42,STPY.0321.00193,1,606783,619556,+
42,STPY.0321.00154,1,548383,561156,+
42,STPY.0321.00055,1,1341145,1353898,-
42,STPY.0321.00155,1,567561,580317,+
42,STPY.0321.00074,1,542969,555741,+
42,STPY.0321.00167,1,565550,578323,+
42,STPY.0321.00112,1,1201877,1214632,-
42,STPY.0321.00169,1,1277665,1290436,-
42,STPY.0321.00144,1,1264588,1277362,-
42,STPY.0321.00157,1,632148,644904,+
42,STPY.0321.00168,1,1247044,1259786,-
42,STPY.0321.00041,1,542958,555730,+
42,STPY.0321.00146,1,531129,543903,+
42,STPY.0321.00119,1,542717,555489,+
42,STPY.0321.00118,1,536921,549694,+
42,STPY.0321.00049,1,542959,555731,+
42,STPY.0321.00046,1,1196531,1209286,-
42,STPY.0321.00043,1,542960,555732,+
42,STPY.0321.00152,1,1285712,1298467,-
42,STPY.0321.00141,1,1293000,1305762,-
42,STPY.0321.00038,1,1314772,1327527,+
42,STPY.0321.00117,1,1276512,1289266,-
42,STPY.0321.00122,1,1367259,1380014,-
42,STPY.0321.00042,1,1238099,1250854,-
42,STPY.0321.00028,1,1301547,1314303,-
42,STPY.0321.00019,1,547188,559961,+
42,STPY.0321.00092,1,1152958,1165713,-
42,STPY.0321.00124,1,536777,549550,+
42,STPY.0321.00207,1,1215046,1227801,-
42,STPY.0321.00209,1,1217016,1229771,-
42,STPY.0321.00214,1,1251817,1264571,-
42,STPY.0321.00191,1,600161,612916,+
42,STPY.0321.00211,1,1190614,1203386,-
42,STPY.0321.00138,1,546177,558933,+
42,STPY.0321.00002,1,361665,374419,-
42,STPY.0321.00212,1,1189780,1202552,-
42,STPY.0321.00210,1,650356,663112,+
42,STPY.0321.00173,1,1215804,1228576,-
42,STPY.0321.00175,1,1203451,1216206,-
42,STPY.0321.00172,1,557211,569967,+
42,STPY.0321.00170,1,1364696,1377458,-
42,STPY.0321.00069,1,1319218,1331989,-
42,STPY.0321.00179,1,542228,554984,+
42,STPY.0321.00182,1,1289558,1302313,-
42,STPY.0321.00189,1,1311720,1324482,-
42,STPY.0321.00010,1,1152682,1165437,-
42,STPY.0321.00024,1,542292,555064,+
42,STPY.0321.00058,1,542293,555065,+
42,STPY.0321.00021,1,526149,538905,+
